yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.831,0.125,0.044,0.405,0.164,0.0,33.0,131.249952,1337.499567,87.499969,287.499914,924.999706,1856.249382,20462.492199,0.00038
0.817,0.166,0.017,0.311,0.107,0.255,33.0,106.24995,1249.999495,131.249946,293.7499,806.249655,1587.499377,18206.242436,0.000332
0.548,0.063,0.0,0.423,0.0,0.577,33.0,68.749961,943.749575,87.49996,406.249798,424.999834,1156.249479,19712.490835,0.000353
0.8,0.158,0.042,0.251,0.0,0.0,33.0,93.749984,1624.999616,74.999982,274.999932,1218.749711,2137.499506,17606.245805,0.000461
0.849,0.151,0.0,0.474,0.399,0.0,33.0,87.49998,743.749861,87.49998,287.499953,356.249934,924.999823,18656.246353,0.000182
0.779,0.061,0.0,0.416,0.096,0.0,33.0,187.499955,849.999784,93.749981,287.499918,412.499901,1068.749737,27012.492476,0.000237
0.667,0.0,0.0,0.632,0.155,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,27437.488047,0.0
0.635,0.223,0.0,0.186,0.0,0.779,33.0,81.249972,962.499643,68.749975,337.499884,537.499788,1149.999574,13024.995139,0.000305
0.822,0.178,0.0,0.061,0.371,0.0,33.0,191.666599,1108.332926,91.666643,358.333188,574.999791,1349.999499,17099.994382,0.000287
0.951,0.049,0.0,0.269,0.0,0.0,33.0,124.999984,981.249885,68.749994,312.499963,593.749928,1224.999855,38974.994911,0.000231
0.85,0.15,0.0,0.022,0.496,0.482,33.0,112.499971,762.499752,62.499975,262.499922,424.999857,1024.999667,17462.494411,0.000213
0.488,0.167,0.0,0.0,0.318,0.0,33.0,118.749916,756.249452,49.999985,312.499737,362.499747,974.999296,10699.992698,0.000344
0.885,0.115,0.0,0.134,0.703,0.0,33.0,24.999994,718.749782,62.499977,299.999889,349.999919,818.749746,18243.744321,0.000162
0.838,0.162,0.0,0.0,0.146,0.0,33.0,118.749956,981.249627,49.999991,306.249855,599.999789,1237.499496,20324.992802,0.000263
0.789,0.211,0.0,0.117,0.279,0.37,33.0,62.499975,818.749689,81.249965,274.999906,456.24982,1031.249642,15974.995313,0.000225
0.334,0.243,0.0,0.235,0.0,0.0,33.0,37.499876,899.99786,49.999853,356.249322,474.998767,1081.247459,7306.233709,0.000494
0.888,0.112,0.0,0.425,0.0,0.0,33.0,224.999954,1299.999786,187.499964,481.249922,587.499912,1643.749727,26562.495073,0.000319
0.937,0.063,0.0,0.378,0.167,0.136,33.0,118.749969,931.249787,74.999989,281.249933,543.749874,1162.499725,29706.242337,0.000217
0.909,0.091,0.0,0.0,0.116,0.884,33.0,162.499969,918.749833,118.749979,343.749942,424.999918,1218.749778,25581.245223,0.000244
0.519,0.108,0.0,0.0,0.0,1.0,33.0,193.749884,1312.499403,99.999951,512.499761,631.24974,1643.749254,16443.742401,0.000568
0.65,0.038,0.0,0.113,0.0,0.887,33.0,131.249973,668.749781,68.749986,312.4999,268.749901,874.999734,26549.991218,0.000245
0.564,0.119,0.0,0.0,0.238,0.762,33.0,143.749936,1074.999515,87.499961,381.24982,587.499742,1324.999413,15699.993744,0.000416
0.784,0.14,0.069,0.0,0.0,1.0,33.0,56.249971,1381.249324,106.249955,262.499892,999.999478,1831.249099,17799.991065,0.000419
0.601,0.092,0.0,0.0,0.0,0.537,33.0,162.499954,1062.499673,124.999961,393.749873,518.749848,1418.749578,20143.743842,0.000429
0.13,0.087,0.0,0.0,0.0,1.0,33.0,62.499578,606.248075,24.999953,237.49929,337.498832,812.497344,5537.473807,0.001051
0.903,0.097,0.0,0.0,0.26,0.397,33.0,124.999973,943.749768,156.24996,306.249923,462.499888,1199.999702,25099.993413,0.000241
0.54,0.111,0.0,0.139,0.0,0.861,33.0,218.749787,1043.749154,81.249908,393.749703,556.249547,1381.24887,15856.236057,0.000445
0.667,0.099,0.0,0.097,0.111,0.792,33.0,162.499949,731.249796,87.499976,274.999936,324.999902,949.999739,19187.494027,0.000254
0.67,0.061,0.0,0.0,0.0,1.0,33.0,174.999969,849.99986,68.749988,331.249942,412.499934,1181.2498,25368.745749,0.000325
0.911,0.089,0.0,0.417,0.0,0.0,33.0,131.249989,1012.499894,68.749993,331.249959,587.499944,1231.249871,29424.99671,0.000235
0.792,0.208,0.0,0.415,0.12,0.0,33.0,99.999969,1049.999671,81.249977,381.24988,562.499818,1281.249598,17237.494483,0.000269
0.447,0.123,0.0,0.229,0.0,0.771,33.0,137.499888,1099.998889,81.249931,431.249559,556.249428,1374.998694,13156.236871,0.000515
