yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.544949,0.191901,0.060699,0.765952,16.101689,12.499993,274.999299,24.999944,131.249686,118.749669,431.248962,2756.24374,0.000307
0.288566,0.637393,0.322843,0.482357,33.346631,12.499983,381.249255,12.499984,162.499678,199.999601,456.249097,3749.99305,0.000188
0.0,0.0,0.046891,0.160963,26.71347,0.0,0.0,0.0,0.0,0.0,0.0,412.402515,0.0
0.009612,0.04299,0.147578,0.368794,9.289971,6.24997,337.498886,18.749938,106.249646,206.249331,368.748743,2606.239345,0.000292
0.217167,0.33314,0.362426,0.423766,20.822859,24.999981,512.499142,43.749967,199.999673,268.749502,618.748991,4537.492766,0.000253
0.072357,0.009746,0.392204,0.218283,33.56057,31.24988,124.999123,0.0,81.249375,37.49977,199.998848,8956.190737,0.000357
0.161632,0.767232,0.424359,0.517007,5.667045,12.499996,581.249376,56.249943,218.749738,306.249695,662.49931,5487.494546,0.000212
0.822783,0.130416,0.087635,0.496305,27.715897,112.499948,743.74974,68.749972,231.249914,418.749867,931.249667,13031.24455,0.000292
0.222229,0.549066,0.382941,0.185965,31.573642,37.499923,487.498952,49.999896,156.249635,274.999436,606.248666,3481.242565,0.000293
0.179229,0.127003,0.041728,0.388794,15.231353,12.49987,249.998345,12.49976,143.749183,93.749402,324.997748,1506.239448,0.000464
0.961,0.039,0.099,0.587,27.0,31.249992,218.749917,43.749991,93.749958,74.999969,268.749903,14962.493397,7.7e-05
0.222,0.549,0.383,0.186,31.0,18.749976,437.499609,24.999983,168.749855,237.499778,531.249506,3624.995443,0.000255
0.856,0.144,0.534,0.442,27.0,37.499994,387.499805,43.749978,131.249929,199.999899,474.999775,12206.244493,0.000105
0.675,0.325,0.25,0.75,27.0,49.999982,406.249842,24.999986,193.749928,174.999929,593.749782,6631.246824,0.000177
0.711,0.289,0.068,0.358,27.0,218.749874,1399.999206,131.249899,474.999729,724.999625,1806.248961,11056.243683,0.000681
0.774,0.226,0.0,0.128,27.0,649.999831,3499.999074,356.249894,1074.999705,1999.999494,4599.998784,18724.994675,0.001889
0.701,0.1,0.005,0.0,27.0,3018.749104,8031.247579,1031.249687,2549.999265,3843.748822,11549.996544,37862.488857,0.005761
0.679,0.0,0.147,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,77324.992981,0.0
0.661,0.0,0.0,0.149,27.0,37.499995,187.499977,43.749997,124.999983,6.25,237.499972,38793.74393,0.000126
0.691,0.243,0.0,0.0,27.0,1131.249584,5918.747977,549.999808,1862.499376,3243.748885,7612.497383,20068.743168,0.003602
0.845,0.155,0.0,0.0,27.0,2724.999514,8581.248402,999.999818,2506.249528,4543.749154,11912.497802,35993.743169,0.004843
