yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.169977,0.210762,0.210133,0.296651,0.059912,0.074856,30.865777,0.0,137.499557,6.249991,18.74999,112.499575,168.749413,3406.23964,0.000118
0.189747,0.349744,0.182564,0.002689,0.00789,0.001135,20.110062,12.499971,568.74857,12.499963,43.749908,499.998728,699.998171,1193.746937,0.002163
0.190313,0.091302,0.101826,0.368123,0.45543,0.102044,29.145976,12.499975,168.749688,6.249999,31.249977,124.999737,287.499499,3649.993659,0.000158
0.210316,0.122899,0.337423,0.052266,0.035734,0.275711,7.9593,0.0,18.74924,0.0,0.0,18.74924,24.999239,1631.230418,6.8e-05
0.211952,0.399449,0.166755,0.262722,0.021806,0.176951,9.157245,0.0,149.999777,12.499948,18.74995,118.749879,249.999675,8443.73837,0.000156
0.232363,0.170808,0.145642,0.11462,0.063541,0.245493,32.94622,18.749929,324.999381,12.499983,62.499849,243.749584,506.248995,4668.741583,0.000338
0.255381,0.022162,0.528651,0.539711,0.012913,0.161617,9.712295,0.0,212.499921,12.499987,6.249999,193.749934,549.999778,15831.243558,0.00017
0.269406,0.148833,0.163033,0.332693,0.109937,0.058694,22.585403,18.749971,574.9995,24.999989,43.749962,506.24955,793.749305,6812.494081,0.00039
0.39214,0.567737,0.016884,0.059799,0.163989,0.05902,14.221512,112.49934,1337.49459,24.999954,331.248632,956.246064,1668.743119,2737.488649,0.002356
0.440953,0.320074,0.183642,0.32115,0.443082,0.010002,22.911429,6.666664,913.332374,26.666632,39.999968,839.999111,1046.66553,4086.662369,0.000402
0.142,0.335,0.184,0.131,0.29,0.08,23.0,6.249976,262.499228,6.249994,24.999961,224.999297,299.999155,1974.994054,0.000264
0.588,0.126,0.162,0.539,0.264,0.0,23.0,31.249986,1149.999488,43.749979,131.24993,968.749581,1631.249253,8549.995755,0.000452
0.761,0.135,0.0,0.322,0.462,0.0,23.0,74.999953,424.999771,74.999944,193.749894,137.499941,581.249658,8693.745038,0.000186
0.454,0.112,0.434,0.574,0.426,0.0,23.0,6.249995,468.74985,6.249999,18.749993,443.749857,693.749757,5306.248067,0.000191
0.493,0.439,0.068,0.631,0.206,0.0,23.0,149.999928,2099.999023,49.99998,293.749855,1718.749198,2424.998792,9662.495636,0.000625
0.539,0.397,0.064,0.611,0.141,0.248,23.0,68.749964,774.999599,49.999984,168.749919,543.749711,981.24952,10899.993487,0.000257
0.331,0.252,0.0,0.709,0.291,0.0,23.0,18.749993,499.999785,43.749978,174.99993,274.99988,668.749701,8737.496222,0.00017
0.544,0.409,0.047,0.396,0.032,0.0,23.0,487.499799,4749.997678,231.249887,793.749658,3593.748191,5712.497201,14687.492791,0.002039
0.441,0.559,0.0,0.324,0.0,0.0,23.0,881.249452,5893.746611,399.9998,1456.249176,3849.997739,7206.245798,15393.740927,0.00311
0.518,0.482,0.0,0.093,0.0,0.0,23.0,1174.999038,6531.243819,406.249686,1806.248146,3999.996229,8187.492301,13193.737768,0.00568
0.443,0.39,0.167,0.119,0.0,0.0,23.0,137.499922,2543.748296,68.749953,231.249843,2206.248513,3137.49783,5524.996223,0.002211
0.504,0.496,0.0,0.165,0.168,0.0,23.0,268.749846,2674.99827,212.499858,731.249522,1637.498954,3156.247941,8406.244404,0.001684
0.511,0.489,0.0,0.158,0.0,0.109,23.0,493.749605,3812.496973,281.249759,1037.499227,2381.248088,4593.746336,11493.74057,0.002675
0.693,0.307,0.0,0.029,0.0,0.0,23.0,2068.749089,7968.746299,712.499675,2187.498973,4556.247881,10531.245155,17056.24211,0.007478
0.854,0.146,0.0,0.246,0.0,0.0,23.0,2443.749353,7668.748021,843.749792,2281.249413,4043.748945,10524.997264,35374.991216,0.004207
0.93,0.0,0.07,0.0,0.0,0.0,23.0,11168.748558,9312.498833,2137.499736,3981.249496,3074.999615,28412.496373,45574.994075,0.019085
1.0,0.0,0.0,0.0,0.0,0.155,23.0,24.999998,349.999952,0.0,0.0,349.999952,824.999891,95174.987953,0.000597
0.712,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,167318.735572,0.0
0.619,0.381,0.0,0.0,0.0,0.0,23.0,1337.499652,7056.248143,549.999858,2031.249477,4206.248876,9081.247628,11993.746913,0.007594
0.363,0.59,0.0,0.0,0.0,0.0,23.0,399.999259,3731.244002,268.749594,937.4985,2399.996131,4506.242782,5381.241394,0.0055
0.631,0.369,0.0,0.328,0.0,0.091,23.0,718.749658,4687.497501,306.249796,1418.749253,2806.248527,5974.996893,18593.739851,0.002291
0.358,0.642,0.0,0.749,0.0,0.099,23.0,268.74989,2674.998876,187.499931,637.499734,1774.999242,3162.498672,17856.242573,0.000786
0.343,0.657,0.0,0.0,0.0,0.185,23.0,156.24967,1668.746084,62.499937,449.998987,1118.74725,2043.745273,4306.240423,0.00252
0.695,0.305,0.0,0.669,0.0,0.0,23.0,881.249754,4306.248792,343.749908,1112.49967,2624.999261,5399.998452,28637.492353,0.001307
0.235,0.765,0.0,0.457,0.0,0.0,23.0,493.749697,4293.74733,199.999899,906.249473,3031.24805,5224.996705,13999.991391,0.002016
0.876,0.003,0.121,0.534,0.0,0.0,23.0,456.249862,1924.999433,156.249954,181.249948,1574.999538,4506.248637,28993.741261,0.001189
0.135,0.865,0.0,0.543,0.0,0.139,23.0,112.499929,1724.998662,106.249891,337.499738,1249.999051,2031.248467,10618.742037,0.000718
0.946,0.044,0.01,0.0,0.171,0.0,23.0,1062.499807,3662.499329,368.749931,1187.499793,1899.999644,5393.749018,28062.495221,0.003108
0.183,0.619,0.0,1.0,0.0,0.0,23.0,368.749919,3406.249146,256.249946,749.999798,2318.749425,4049.998981,23149.994214,0.00085
0.247,0.753,0.0,0.713,0.287,0.0,23.0,68.749969,931.249396,62.499954,237.499853,599.999608,1131.249277,7868.744849,0.000286
0.834,0.163,0.003,0.0,0.0,0.0,23.0,3381.249357,9699.998189,1056.249809,2968.749473,5006.249015,13781.247379,25712.494992,0.009516
0.701,0.262,0.037,0.0,0.193,0.0,23.0,456.24968,4112.497409,243.74988,912.499434,2818.748195,5018.746874,9087.494174,0.00343
0.392,0.568,0.017,0.06,0.164,0.059,15.0,137.499561,1462.49505,112.499488,337.498789,956.246945,1743.74418,3049.990564,0.002393
0.585,0.374,0.0,0.308,0.136,0.073,15.0,124.99988,1368.748231,81.249889,331.24953,943.748835,1774.997809,8449.989638,0.000822
0.372,0.226,0.0,0.027,0.314,0.065,15.0,24.999903,506.246716,12.499967,199.998775,293.747974,599.995896,2274.986999,0.000919
0.773,0.208,0.019,0.0,0.0,0.088,23.0,1518.749523,5718.748013,568.749798,1562.499438,3287.498872,8062.497222,16468.744265,0.005778
0.095,0.665,0.0,0.131,0.0,0.0,23.0,131.249765,1937.496629,74.99991,349.999421,1462.497416,2187.496208,5456.241084,0.002374
0.449,0.551,0.0,0.786,0.0,0.214,15.0,68.749989,949.999684,106.24996,224.999913,612.499811,1356.249556,20112.492903,0.000293
0.187,0.646,0.167,0.607,0.0,0.072,23.0,62.499964,1893.749135,18.749997,124.999954,1724.999204,2249.998977,10918.745192,0.000719
0.739,0.198,0.063,0.214,0.0,0.0,23.0,1199.999724,5849.998704,456.249884,1137.499741,3981.249134,8243.748112,19168.745522,0.003659
0.714,0.257,0.029,0.31,0.0,0.065,23.0,843.749659,4624.998001,337.499868,987.49958,3124.998629,6062.497407,20149.991206,0.002297
0.157,0.771,0.072,1.0,0.0,0.0,23.0,262.49994,4224.998937,106.249975,562.499873,3456.249106,4868.748761,18424.995482,0.00102
0.338,0.434,0.228,0.689,0.0,0.0,15.0,599.999887,3562.499199,281.249942,468.749894,2731.249379,5018.748919,24187.494862,0.001255
0.22,0.615,0.165,1.0,0.0,0.0,15.0,649.999839,3787.499073,193.749956,699.999838,2749.999314,4974.998773,31118.742958,0.000874
0.168,0.54,0.292,0.226,0.0,0.0,15.0,87.499908,1418.748854,56.249977,112.499887,1212.499021,1818.748486,9599.991808,0.001333
0.28,0.437,0.0,1.0,0.0,0.0,15.0,274.999947,1812.499738,131.249978,474.999919,1143.749856,2224.999673,36168.745031,0.000392
