yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.317042,0.288919,0.038392,0.359837,8.571914,31.249622,274.997966,12.499983,87.499448,162.498649,387.496806,1281.239653,0.000622
0.0,0.0,0.297006,0.15572,12.137875,31.249926,462.498973,31.249937,274.999332,149.999721,612.498669,7087.485042,0.000326
0.444892,0.243467,0.036181,0.08933,16.14579,518.748832,2781.244467,162.49964,931.248056,1587.496976,3568.742921,5168.739511,0.006294
0.0,0.0,0.008852,0.007684,27.06995,0.0,0.0,0.0,0.0,0.0,0.0,324.796671,0.0
0.0,0.0,0.000605,0.022689,25.868183,0.0,0.0,0.0,0.0,0.0,0.0,55.993643,0.0
0.036108,0.428321,0.148463,0.343086,21.03827,6.249991,293.748667,0.0,118.749404,168.749272,331.248528,1912.486588,0.000293
0.136439,0.538629,0.072873,0.366297,13.527386,43.749686,312.498263,12.499887,93.749646,193.748929,431.247641,1887.486193,0.000503
0.106143,0.290295,0.0,0.0,31.15653,68.749461,468.746097,12.499864,218.748058,224.998244,624.994693,2512.47566,0.000896
0.106516,0.573196,0.0786,0.091935,33.238924,18.749908,249.999183,18.749855,74.999709,149.999646,324.998955,2074.994119,0.000274
0.200405,0.521511,0.26062,0.563985,13.839055,6.24994,387.499228,24.999955,149.999793,206.24954,481.249012,3493.74327,0.000223
0.153,0.719,0.029,0.046,31.0,6.249994,349.999277,0.0,131.249779,218.749499,412.499131,2387.495988,0.000317
0.0,0.0,0.191,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.665424,0.0
0.117,0.515,0.047,0.317,13.0,24.999899,518.746668,12.499925,174.998793,324.997966,612.496154,1612.490518,0.00094
0.445,0.243,0.036,0.089,17.0,624.999069,3012.495967,243.749713,1068.748575,1562.497791,3856.244613,5774.992071,0.006299
0.318,0.375,0.012,0.065,17.0,387.497641,2749.988108,193.749193,931.246278,1518.743316,3356.235205,3618.735094,0.008486
0.598,0.364,0.069,0.232,17.0,424.999176,2387.495425,149.999736,687.49863,1437.497288,3081.243842,6018.73757,0.002912
0.327,0.236,0.0,0.363,17.0,124.999528,631.248115,49.999859,243.749194,324.999139,874.997389,2412.49081,0.001468
0.451,0.302,0.2,0.018,17.0,1068.749013,4293.746173,356.249727,1306.248844,2399.997814,5687.494907,15424.985362,0.004059
0.738,0.25,0.219,0.0,17.0,1999.999037,6124.997099,643.749687,1643.749148,3418.748442,8456.245938,21762.489607,0.00507
0.682,0.177,0.423,0.094,17.0,262.499856,1612.498936,187.49988,493.74964,849.999455,2062.498683,15987.489544,0.000727
0.843,0.157,0.051,0.0,17.0,3112.498729,7256.246951,906.249629,2037.499142,3768.74841,10793.745514,18637.492331,0.012883
0.982,0.018,0.124,0.0,17.0,2356.249583,3243.749392,549.999909,512.499904,1543.749709,5712.498959,50643.740237,0.004893
0.639,0.007,0.134,0.0,17.0,637.499595,1112.499475,199.99991,218.749914,506.249747,1812.498951,37518.730927,0.001764
0.983,0.017,0.0,0.205,17.0,706.249676,2331.249019,199.99991,999.999569,974.999621,3231.248624,13999.994288,0.003749
0.873,0.127,0.157,0.083,17.0,1156.249253,4093.747537,487.499716,1318.749243,2049.998748,5574.996566,16193.739775,0.00367
0.98,0.02,0.0,0.0,17.0,6943.748809,5868.749023,862.499861,1137.499806,1874.999681,13337.497722,48812.491758,0.026362
1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,114493.728721,0.0
0.712,0.288,0.066,0.0,17.0,2381.248047,6756.244864,693.749417,1781.248787,3812.497065,9462.492737,13462.489499,0.010974
0.715,0.285,0.032,0.0,17.0,2099.997958,6631.243601,618.74945,1812.498249,3756.246421,9093.741287,11018.739311,0.013091
0.716,0.284,0.17,0.0,17.0,2112.498506,7006.245227,649.999547,1968.748728,3949.997231,9412.493513,18968.736486,0.0067
0.783,0.217,0.148,0.179,17.0,612.499423,2549.997848,206.249796,906.249238,1306.248967,3318.747218,9437.491826,0.002164
0.702,0.298,0.0,0.0,17.0,1768.749144,5774.996949,449.999761,1681.249132,3368.74819,7887.495909,7874.995894,0.014977
0.625,0.165,0.0,0.0,17.0,1874.997443,5518.742021,637.499086,1781.247345,2718.746154,7631.239203,9249.987467,0.017146
0.681,0.319,0.172,0.0,17.0,2183.331769,6574.995341,608.332894,2049.998516,3524.997553,9099.993527,18058.320041,0.00652
0.735,0.265,0.0,0.0,17.0,1837.498069,6187.493512,562.499426,1793.748131,3543.746301,8581.241076,8799.99102,0.01578
0.628,0.162,0.143,0.0,17.0,2168.748672,5737.496207,574.999582,1531.24898,3131.247951,8137.494761,19681.236899,0.00696
0.772,0.228,0.183,0.0,17.0,2224.999184,7331.247365,737.499748,2068.749242,4024.998583,9774.996495,22724.991649,0.006533
0.625,0.375,0.157,0.0,17.0,2156.248612,6768.745876,599.999646,1837.498853,3918.747637,9262.494296,16606.239757,0.007158
0.65,0.35,0.0,0.0,17.0,1587.498375,6206.243679,474.999465,1737.498204,3593.746397,7974.991807,6499.993,0.015877
0.767,0.233,0.166,0.0,17.0,2343.748612,6762.496119,768.749611,1881.248874,3662.497865,9531.244474,20943.738086,0.006784
0.616,0.174,0.123,0.0,17.0,2268.748302,5993.745056,649.999408,1824.998471,3074.997505,8712.49292,18324.984536,0.0082
0.761,0.239,0.132,0.0,17.0,2849.998756,7693.746718,812.499674,1987.499125,4318.748181,10937.49528,19806.241396,0.008918
0.637,0.363,0.197,0.0,17.0,1818.74837,6793.744138,549.999554,1893.748411,3949.996566,9124.992145,17837.484854,0.00606
0.754,0.246,0.107,0.0,17.0,2568.748164,7431.244818,743.749456,2081.248432,4087.497243,10324.992729,16924.988024,0.009406
0.621,0.184,0.125,0.0,17.0,2131.248991,6056.246663,662.499611,1724.999027,3218.748286,8387.495544,18624.990355,0.007767
0.804,0.196,0.209,0.0,17.0,2243.749241,6337.497616,699.999719,1649.999387,3524.998668,8943.746686,24543.740917,0.005443
0.76,0.24,0.086,0.0,17.0,2524.998954,7074.997182,799.999667,2008.33248,3891.665202,10274.995861,16983.326604,0.010433
0.77,0.23,0.101,0.0,17.0,2537.498295,7487.494964,781.249482,2218.748558,3931.247313,10381.242985,18049.987952,0.00971
0.763,0.237,0.07,0.094,17.0,1231.249059,4368.746867,331.249785,1343.749029,2449.998211,5974.995673,10681.24222,0.00585
0.614,0.195,0.148,0.0,17.0,2156.24847,5912.495795,637.499605,1906.248683,3031.247732,8581.24387,19537.485726,0.007201
0.804,0.196,0.215,0.0,17.0,2181.248913,6181.247046,624.999735,1624.999183,3487.498364,8743.745836,24074.988512,0.005211
0.677,0.323,0.127,0.0,17.0,2187.498099,7331.243592,731.249333,1918.748318,4281.246274,9893.741374,15887.486826,0.008544
0.771,0.229,0.114,0.0,17.0,2799.998087,7243.745191,687.499539,1943.748778,4012.497304,10337.493082,18774.987442,0.009126
0.637,0.199,0.107,0.0,17.0,2456.248211,6487.495192,643.749553,1943.748519,3381.247509,9293.74316,16362.487979,0.00925
0.799,0.201,0.181,0.0,17.0,2618.748681,6756.246918,712.499624,1849.999147,3656.248426,9631.245511,23549.98921,0.006445
0.785,0.215,0.101,0.0,17.0,2749.998683,7574.996272,868.74958,1906.2491,4218.74789,10643.744786,18693.74021,0.009869
0.694,0.306,0.124,0.0,17.0,2106.248703,6899.995931,656.249599,1649.99904,4093.747623,9418.744464,16843.740372,0.008178
0.776,0.224,0.089,0.0,17.0,2587.498752,6987.496842,812.499662,1843.749118,3812.498303,9981.245404,17781.241667,0.009855
0.842,0.158,0.226,0.0,17.0,2281.248825,5843.746659,662.499606,1699.999016,3056.248261,8399.995374,26156.236309,0.004808
0.651,0.186,0.165,0.0,17.0,2087.498969,5831.246916,587.499678,1624.999172,3212.498231,8318.745616,20662.489126,0.006333
0.786,0.214,0.107,0.0,17.0,2806.248178,7162.495448,737.499513,1906.248754,4043.747478,10456.243421,18493.738336,0.00941
0.785,0.215,0.108,0.0,17.0,2906.248643,7043.746645,843.749648,1756.24916,3931.248102,10387.495183,18843.740957,0.009372
0.8,0.2,0.139,0.0,17.0,2368.747892,6912.494418,768.749466,1774.998605,3937.496777,9737.492012,21118.7325,0.00761
0.659,0.202,0.085,0.0,17.0,2181.248829,6018.74698,699.999626,1737.49908,3193.748461,8787.495452,15793.742052,0.009721
0.731,0.269,0.193,0.0,17.0,2037.498702,6543.745785,531.249694,1981.248784,3581.247637,9006.244249,19956.237411,0.005888
0.792,0.208,0.092,0.0,17.0,2812.498818,7237.496764,881.249638,1893.749154,3962.498179,10462.495419,18299.99184,0.010179
0.843,0.157,0.208,0.0,17.0,2156.24895,6299.996791,731.249649,1699.99909,3362.498307,8687.495605,26849.986673,0.005256
0.781,0.219,0.08,0.0,17.0,2706.248561,6718.746356,806.2496,1774.998965,3549.99811,9806.24463,17087.490593,0.010151
0.725,0.275,0.114,0.0,17.0,2443.748216,7256.244774,756.249512,2106.248534,3918.747032,9968.742721,16199.987923,0.008946
0.806,0.194,0.118,0.0,17.0,2681.24851,6974.996195,556.249677,2024.998894,3899.997876,10037.494508,21024.988977,0.008592
0.709,0.165,0.134,0.0,17.0,2343.748106,6393.744904,749.999185,1674.998564,3474.997527,9056.242697,21974.982807,0.007683
0.787,0.213,0.074,0.0,17.0,2799.998346,7424.99556,899.999451,2018.748747,3806.247803,10468.74377,17543.739652,0.011164
0.815,0.185,0.138,0.0,17.0,2524.998969,6712.497097,849.999644,1737.499223,3687.498414,9687.495829,21562.490631,0.007552
0.64,0.236,0.105,0.0,17.0,2106.248748,6118.745177,631.24949,1868.748608,3162.497328,8549.993594,15874.987817,0.008538
0.782,0.218,0.055,0.0,17.0,2581.248672,6787.496462,668.749703,1987.49895,3674.998044,9856.244906,14949.99187,0.011753
0.824,0.176,0.149,0.0,17.0,2543.749046,6862.497196,749.99973,1893.749251,3656.248404,9799.996112,22949.991726,0.007329
0.733,0.267,0.124,0.0,17.0,2456.249268,7387.49765,787.49973,2081.249332,4031.24874,10143.746832,17799.994752,0.008664
0.877,0.123,0.244,0.0,17.0,2087.499272,5331.248211,606.249805,1181.249592,3137.49895,7749.997396,30999.989112,0.004192
0.815,0.185,0.127,0.0,17.0,2943.748787,7124.997145,868.749653,1793.749284,3831.248483,10393.745861,22131.241128,0.008556
0.812,0.188,0.122,0.0,17.0,2762.498297,6699.995566,731.249433,1749.998831,3699.997607,9718.743588,20456.236925,0.008111
0.735,0.147,0.153,0.0,17.0,2474.998525,5981.24629,656.249568,1637.49901,3218.747997,8818.744646,23106.23619,0.006837
0.829,0.171,0.134,0.0,17.0,2456.249312,6818.748141,849.999783,1893.749447,3574.999021,9749.997314,22318.743654,0.007712
0.958,0.042,0.32,0.0,17.0,612.499842,1843.749391,149.999958,462.499816,1106.249643,2537.499169,36162.488116,0.00111
0.793,0.207,0.061,0.0,17.0,2712.498344,7243.745553,924.999458,1893.748831,3918.747543,10381.243588,15706.240511,0.011862
0.764,0.236,0.154,0.0,17.0,2649.998482,7431.245308,918.749483,1974.998731,3968.747396,10337.493649,20549.987192,0.007703
0.828,0.172,0.125,0.0,17.0,2949.997718,7149.994546,824.999264,1799.998642,3887.497062,10368.741984,22899.982851,0.00856
0.797,0.203,0.06,0.0,17.0,3106.248667,6981.246825,774.999646,1831.249175,3843.748252,10418.745344,16574.992796,0.01193
0.787,0.213,0.024,0.0,17.0,2637.499171,6656.247873,674.999763,1818.749431,3681.248833,9731.246879,12981.245963,0.014221
0.732,0.161,0.096,0.0,17.0,2462.498648,6449.996447,662.499687,1906.248882,3368.74814,9287.494906,19412.488963,0.009323
0.828,0.172,0.117,0.0,17.0,3112.498983,7887.497574,968.749678,2006.249433,4231.24868,11174.996443,21568.743053,0.009551
0.836,0.164,0.122,0.0,17.0,2906.247923,7162.494908,787.49945,1937.498687,3862.497158,10243.742663,22893.733847,0.00849
0.825,0.175,0.105,0.0,17.0,3162.49791,6912.49521,793.749373,1962.498524,3543.74769,10349.99291,21299.985028,0.009355
