yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.001916,0.000532,0.002247,0.134839,0.404671,0.422679,21.595305,0.0,6.249991,0.0,0.0,6.249991,6.249991,918.740613,7e-06
0.003868,0.011632,0.003692,0.32655,0.084894,0.206571,21.528982,0.0,49.999937,12.499987,18.749991,18.74996,56.249928,4618.740964,3.6e-05
0.006661,0.000558,0.047119,0.022193,0.137886,0.063846,5.923329,0.0,74.998962,6.249987,24.999524,43.749451,106.248662,837.489591,0.000381
0.012606,0.026494,0.099082,0.031166,0.00173,0.064205,18.590885,0.0,18.749712,0.0,0.0,18.749712,43.748405,3531.163198,0.000271
0.013194,0.234674,0.166395,0.115825,0.015425,0.13414,31.94959,0.0,37.499296,0.0,12.499912,24.999384,37.499296,581.242619,9.5e-05
0.022214,0.316605,0.27674,0.166239,0.022788,0.380073,18.152738,6.249976,24.999943,0.0,0.0,24.999943,37.499913,3262.484675,3.9e-05
0.024067,0.144849,0.03996,0.229147,0.141544,0.09562,24.033558,0.0,137.499624,0.0,49.99988,87.499744,162.499504,2724.992863,0.000146
0.117877,0.353542,0.140676,0.112699,0.234625,0.012184,24.336235,0.0,418.748389,31.249917,37.499814,349.998658,474.998249,1806.243163,0.000482
0.123389,0.023957,0.075735,0.097256,0.463091,0.139132,30.551993,18.749952,143.748908,6.249999,43.749769,87.499175,274.997952,4106.221095,0.000321
0.14016,0.017994,0.160415,0.052959,0.231131,0.005316,29.039261,6.249996,74.999773,0.0,18.74996,56.249814,131.249654,3887.491428,0.000176
0.115,0.348,0.138,0.116,0.232,0.015,25.0,12.499989,343.749245,6.249964,49.999935,287.499346,418.749009,1849.995064,0.000423
0.225,0.547,0.228,0.0,0.392,0.0,25.0,6.249988,518.749081,0.0,18.749968,493.749125,587.498908,1318.747478,0.000586
0.008,0.662,0.33,0.0,0.237,0.0,25.0,0.0,74.999913,0.0,0.0,74.999913,74.999913,318.7495,0.000173
0.342,0.335,0.091,0.068,0.427,0.005,25.0,37.499964,987.498256,49.99986,162.499835,762.498576,1168.748043,3449.99382,0.000794
0.406,0.477,0.0,0.0,0.341,0.15,25.0,93.749816,1006.247989,74.999833,374.999243,524.998972,1249.997524,4674.991901,0.000915
0.449,0.302,0.237,0.0,0.353,0.204,25.0,6.249978,362.499369,37.499964,24.99995,299.999454,424.999185,3543.743693,0.000302
0.406,0.575,0.0,0.208,0.397,0.0,25.0,49.999946,937.498991,74.999926,312.499687,543.749388,1149.998769,5543.743746,0.000518
0.258,0.484,0.0,0.131,0.516,0.19,25.0,49.9999,374.999556,31.249987,193.749721,137.499883,493.749391,3356.245309,0.000304
0.448,0.372,0.0,0.11,0.227,0.0,25.0,174.999785,1643.748038,99.99989,618.749227,881.248947,2056.247449,7531.240932,0.001173
0.426,0.574,0.0,0.0,0.136,0.0,25.0,149.999677,2293.745843,124.999799,662.498672,1456.247447,2706.245011,5843.73929,0.002058
0.559,0.441,0.0,0.0,0.0,0.0,25.0,756.249376,4843.746292,356.249715,1412.499043,2881.247709,6049.995326,10606.242034,0.004109
0.725,0.275,0.0,0.0,0.0,0.0,25.0,1962.499574,7599.998311,662.499851,2281.24952,4212.499036,10006.247787,18874.995402,0.005679
0.747,0.124,0.129,0.0,0.0,0.0,25.0,281.249938,3593.749303,256.249961,487.499916,2774.999439,5281.248941,12399.997453,0.002947
0.771,0.229,0.0,0.0,0.0,0.136,25.0,1712.499603,6237.4985,556.249882,1931.249513,3387.499181,8418.747997,20787.494971,0.004557
0.852,0.148,0.0,0.172,0.0,0.0,25.0,2568.749459,8162.49833,987.499782,2312.49956,4406.249074,11524.997637,37299.992263,0.004467
1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,37299.992263,0.0
0.742,0.258,0.0,0.26,0.0,0.075,25.0,1106.249555,5812.497805,518.749785,1668.749444,3368.748711,7424.997183,24393.740323,0.002694
0.787,0.213,0.0,0.164,0.266,0.0,25.0,268.749853,1674.999139,187.499912,562.499705,874.999548,2181.248863,13843.742943,0.000807
0.629,0.174,0.0,0.135,0.0,0.0,25.0,2012.499461,7043.748086,693.749798,2312.499395,3668.748999,9587.497406,25656.242994,0.004874
0.759,0.0,0.0,0.167,0.0,0.135,25.0,0.0,49.999991,0.0,0.0,49.999991,87.499984,57199.989231,4e-05
0.81,0.19,0.0,0.024,0.0,0.0,25.0,2956.249426,9524.998131,999.999815,2937.499432,4943.749012,13099.997447,28218.744487,0.00663
0.753,0.179,0.068,0.251,0.0,0.0,25.0,899.999617,5462.497718,374.999832,1043.749626,3837.498352,7587.496874,21874.991349,0.002781
0.794,0.206,0.0,0.142,0.0,0.0,25.0,2274.999236,8006.247267,843.749724,2537.499179,4231.248478,10937.496267,30131.239698,0.004588
0.838,0.162,0.0,0.069,0.0,0.148,25.0,1906.249418,6324.99814,656.249804,1899.999459,3362.498973,8681.247396,29268.740978,0.003942
0.652,0.348,0.0,0.0,0.0,0.243,25.0,718.749623,3612.498132,387.499842,1056.249421,2006.248942,4643.747563,13324.993553,0.002808
0.785,0.156,0.0,0.0,0.0,0.0,25.0,3068.749165,9168.747615,1106.249714,2881.249284,4574.998782,12818.746632,30731.241915,0.007105
